count,investor_name,investor_code,value
18,Alex Roepers - Atlantic Investment Management,AIM,$772 M
20,Allan Mecham - Arlington Value Capital,AV,$900 M
42,Arnold Van Den Berg - Century Management Advisers,CMAFX,$58 M
9,Bill Ackman - Pershing Square Capital Management,psc,$7.51 B
45,Bill Nasgovitz - Heartland Select Value,HRSVX,$263 M
19,Bill Nygren - Oakmark Select,oaklx,$4.34 B
12,Bruce Berkowitz - Fairholme Capital,fairx,$1.45 B
21,Carl Icahn - Icahn Capital Management,ic,$20.3 B
28,Charles Bobrinskoy - Ariel Focus,ARFFX,$47 M
4,Charlie Munger - Daily Journal Corp.,DJCO,$112 M
25,Christopher Davis - Clipper,cfimx,$1.07 B
31,Chuck Akre - Akre Capital Management,AC,$5.17 B
39,Daniel Loeb - Third Point,tp,$10.4 B
17,David Abrams - Abrams Capital Management,abc,$1.91 B
44,David Einhorn - Greenlight Capital,GLRE,$5.22 B
37,David Katz - Matrix Advisors Value,MAVFX,$58 M
31,David Poppe - Sequoia,SEQUX,$4.07 B
35,David Rolfe - Wedgewood Partners,WP,$4.94 B
35,David Tepper - Appaloosa Management,AM,$3.74 B
63,Dodge & Cox Team - Dodge & Cox,DODGX,$55.7 B
19,Donald Yacktman - Yacktman Focused Fund,YAFFX,$3.07 B
11,Eddie Lampert - RBS Partners,EL,$1.02 B
25,Francis Chou - Chou Associates,ca,$257 M
17,Glenn Greenberg - Brave Warrior Advisors,CCM,$1.79 B
16,Guy Spier - Aquamarine Capital,aq,$111 M
40,Harry Burn - Sound Shore,SSHFX,$1.78 B
46,Howard Marks - Oaktree Capital Management,oc,$2.14 B
75,Jean-Marie Eveillard - First Eagle U.S. Value,FEVAX,$1.64 B
14,Jeffrey Ubben - ValueAct Capital,VA,$11 B
54,John Griffin - Blue Ridge Capital,br,$7.65 B
39,John Rogers - Ariel Appreciation,CAAPX,$1.69 B
37,Kahn Brothers Advisors - Kahn Brothers Group,KB,$517 M
2,Kyle Bass - Hayman Capital Management,hc,$35 M
132,Lee Ainslie - Maverick Capital,mc,$7.37 B
78,Leon Cooperman - Omega Advisors,oa,$3.53 B
30,Leucadia Nat. Corp. - Leucadia National,LUK,$782 M
14,Lou Simpson - SQ Advisors,SQ,$2.36 B
52,Mairs & Power - Mairs & Power Growth,MPGFX,$4.29 B
34,Mark Hillman - Hillman Focused,hcmax,$31 M
14,Mason Hawkins - Longleaf Partners,LLPFX,$2.65 B
58,Meridian Funds - Meridian Contrarian Fund,MVALX,$500 M
6,Michael Burry - Scion Asset Management,sa,$46 M
18,Michael Larson - Bill & Melinda Gates Foundation Trust,GFT,$16.8 B
117,Michael Price - MFP Investors,MFP,$753 M
7,Mohnish Pabrai - Pabrai Investments,PI,$296 M
7,Nelson Peltz - Trian Fund Management,TF,$10.5 B
27,Prem Watsa - Fairfax Financial Holdings,FFH,$1.03 B
39,Richard Pzena - Hancock Classic Value,pzfvx,$1.57 B
87,Robert Olstein - Olstein Value,OFALX,$596 M
22,Robert Rodriguez - FPA Capital,FPPTX,$543 M
31,Robert Torray - Torray,TORYX,$345 M
27,Robert Zagunis - Jensen,jensx,$5.24 B
46,Ronald Muhlenkamp - Muhlenkamp,muhlx,$236 M
46,Sam Peters - ClearBridge Value Trust,lmvtx,$2.26 B
38,Seth Klarman - Baupost Group,BAUPOST,$7.33 B
35,Stephen Mandel - Lone Pine Capital,LPC,$21.6 B
41,Steven Romick - FPA Crescent Fund,FPACX,$10.1 B
129,Thomas Gayner - Markel Asset Management,MKL,$3.79 B
98,Thomas Russo - Gardner Russo & Gardner,GR,$11.9 B
49,Thornburg Investment Management - Thornburg Value,TVAFX,$803 M
42,Tweedy Browne Co. - Tweedy Browne Value,TWEBX,$457 M
28,Wallace Weitz - Weitz Value,WVALX,$713 M
49,Warren Buffett - Berkshire Hathaway,brk,$129.7 B
26,William Von Mueffling - Cantillon Capital Management,cc,$5.94 B
